id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_9400,"Aparat aer conditionat TESLA TA36FFCL-1232IAPC 12000BTU A++ R32 Alb","Descriere Aparat aer conditionat TESLA TA36FFCL-1232IAPC 12000BTU A++ R32 Alb 
 
 
  
 
 
 
I FEEL 
 
Telecomanda poate ține evidența temperaturii în locația sa actuală și poate trimite semnalul către aparatul de aer condiționat, astfel încât să optimizeze temperatura camerei pentru confortul tău maxim. 
 
 
 
 
 
MOD TURBO 
 
Când aparatul de aer condiționat intră în modul Turbo, acesta își va maximiza capacitatea de răcire sau încălzire, făcând camera să se răcească sau să se încălzească rapid. 
 
 
 
 
 
ANTI-MUCEGAI 
 
Aparatul de aer condiționat va porni funcția Anti-mucegai după ce iese din modul de răcire și dezumidificare. Ajută la prevenirea răspândirii ciupercilor și bacteriilor pentru a menține un mediu sănătos. 
 
 
 
 
 
FLUX DE AER ORIZONTAL 
 
Poți utiliza opțiunea pentru fluxul de aer orizontal pentru a regla direcția fluxului de aer, dacă preferi ca aerul de la aparatul de aer condiționat să sufle din ambele direcții. 
 
 
 
 
 
DEZGHEȚARE INTELIGENTĂ 
 
Dacă condensatorul îngheață în timpul modului de încălzire în perioadele când temperatura de afară este scăzută, aparatul de aer condiționat va porni modul de dezghețare inteligentă. 
 
 
 
 
 
 
 
 
 
Specificatii tehnice 
Ai sesizat o greseala in specificatiile tehnice ale produsului? Da-ne de stire! 
Link Producator 
 
   
Caracteristici generale 
 
   
 
Tip aparat 
Monosplit 
 
   
 
Capacitate nominala de racire 
12000 BTU 
 
   
 
Clasa energetica de racire 
A++ 
 
   
 
Clasa energetica de incalzire 
A+ 
 
   
 
Inverter 
Da 
 
   
 
Kit instalare inclus 
Da 
 
   
 
Tip Compresor 
DC 
 
 
 
   
Caracteristici tehnice 
 
   
 
Nivel de zgomot unitate exterioara 
62 dB 
 
   
 
Nivel de zgomot unitate interioara 
53 dB 
 
   
 
Agent de racire 
R-32 
 
   
 
Greutate unitate exterioara 
24 Kg 
 
   
 
Greutate unitate interioara 
9 Kg 
 
   
 
Dimensiuni unitate exterioara 
279 x 705 x 530 mm 
 
   
 
Dimensiuni unitate interioara 
340 x 802 x 267 mm 
 
   
 
Culoare 
Alb 
 
 
 
   
Functii 
 
   
 
Ventilare 
Da 
 
   
 
Incalzire 
Da 
 
   
 
Timer 
Da 
 
   
 
Sleep/Night mode 
Da 
 
   
 
Autocuratare 
Da",https://aparatedeaerconditionat.ro/wp-content/uploads/2022/07/aparat-aer-conditionat-tesla-aparat-de-aer-conditionat-tesla-ta36ffcl-1232iapc12000-btu-a-plus-plus-r32-kit-11539021.png,https://aparatedeaerconditionat.ro/produs/aparat-aer-conditionat-tesla-ta36ffcl-1232iapc-12000btu-a-r32-alb/,"aer conditionat, Aparate de aer conditionat 12.000 BTU, Aparate de aer conditonat rezidentiale","Aparate de aer conditionat",1860RON,out of stock,wc_post_id_9400,,"https://aparatedeaerconditionat.ro/wp-content/uploads/2022/07/aparat-aer-conditionat-tesla-aparat-de-aer-conditionat-tesla-ta36ffcl-1232iapc12000-btu-a-plus-plus-r32-kit-11539031.png,https://aparatedeaerconditionat.ro/wp-content/uploads/2022/07/aparat-aer-conditionat-tesla-aparat-de-aer-conditionat-tesla-ta36ffcl-1232iapc12000-btu-a-plus-plus-r32-kit-11539041.png",,0,new,published,,,,,,,
wc_post_id_9039,"Curatarea si igienizarea Unitatii Interne","presupune dezasamblarea partiala acesteia + verificare freon 
 
Lucrarea dureaza aproximativ o ora",https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/montare-aer-conditionat.jpg,https://aparatedeaerconditionat.ro/produs/curatarea-si-igienizarea-unitatii-interne/,"Montare / Instalare / reparatii aer conditionat","Aparate de aer conditionat",150RON,in stock,wc_post_id_9039,,,,0,new,published,,,,,,,
wc_post_id_9041,"Remedierea situatiilor in care curge apa din aparat","Remedierea situatiilor in care curge apa din aparat",https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/montare-instalare-aer-conditionat.jpg,https://aparatedeaerconditionat.ro/produs/remedierea-situatiilor-in-care-curge-apa-din-aparat/,"Montare / Instalare / reparatii aer conditionat","Aparate de aer conditionat",100RON,in stock,wc_post_id_9041,,,,0,new,published,,,,,,,
wc_post_id_8998,"Montare aer conditionat 12000 BTU","Montare aer conditionat 12000 BTU",https://aparatedeaerconditionat.ro/wp-content/uploads/woocommerce-placeholder-430x430.png,https://aparatedeaerconditionat.ro/produs/montare-aer-conditionat-12000-btu/,"aer conditionat, Aparate de aer comerciale","Aparate de aer conditionat",500RON,in stock,wc_post_id_8998,,,,0,new,published,,,,,,,
wc_post_id_8814,"Aer conditionat Samsung FreshAir-AR12TXHQASINEU, Digital Inverter BLDC, 12000 BTU, Clasa A++/A","Descriere 
 
 
 
 
 
Aparat de aer conditionat Samsung FreshAir-AR12TXHQASINEU, Inverter, 12000 BTU, Clasa A++/A 
 
Reduce consumul de energie 
 
Economiseste bani in fiecare zi cu ajutorul tehnologiei Digital Inverter. Acesta mentine temperatura dorita fara sa se opreasca si sa porneasca frecvent, prin urmare, exista o fluctuatie mai mica. De asemenea, acesta foloseste magneti puternici si un amortizor, deci este mai putin zgomotos, dureaza mult mai mult si reduce consumul de energie. 
 
 
 
Racoreste mai rapid 
 
Raceste o camera intreaga rapid si eficient. Modul Fast Cooling functionează la cea mai rapida viteza a ventilatorului, inainte de a incetini. Prin urmare, acesta raceste sau incalzeste mult mai repede in comparatie cu modul normal si atinge temperatura dorita in cel mai scurt timp. Este ideal pentru o evadare imediata de la caldura din afara. 
 
 
 
Respira un aer mai curat - Filtru HD 
 
Asigura-te ca aerul pe care il respiri este mereu curat si proaspat. Filtrul HD este foarte eficient la captarea prafului, a contaminantilor din aer si a alergenilor, cum ar fi polenul, sporii de mucegai si matreata animalelor de companie. De asemenea, este lavabil, asa ca tot ce trebuie sa faci este sa-l clatesti rapid in apa si apoi sa-l reutilizezi. 
 
 
 
Bucura-te de un somn odihnitor 
 
Bucura-te de un somn odihnitor - in fiecare noapte! Modul Good Sleep controleaza automat si regleaza potrivit temperatura pentru a crea conditiile ideale pentru fiecare etapa a ciclului de somn. Prin urmare, vei castiga minute de somn pretioase si te vei simti complet revigorat(a). Pe langa asta, utilizeaza mai putina energie decat racirea obisnuita. 
 
 
 
Raceste fiecare colt - Baleiere automata pe 2 directii 
 
Creeaza un mediu confortabil, cu o temperatura uniforma in fiecare colt. Functia de baleiere automata pe 2 directii controleaza automat directia fluxului de aer, astfel incat este distribuita rapid si uniform in toata camera. Poate refula aerul rece sau cald mult mai in fata si in toate directiile pentru a asigura confortul maxim. 
 
 
 
Racoare de lunga durata - DuraFin+ 
 
Bucura-te de o racoare confortabila pentru mai mult timp. DuraFin+ este fabricat dintr-un material rezistent la coroziune pentru a proteja condensatorul impotriva ruginii, ceea ce ajuta la mentinerea performantelor optime ale aparatului. Rezistenta sa excelenta la coroziune a fost dovedita folosind Testul de pulverizare cu sare (SST) timp de 480 de ore*.",https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/res_fdc66684bd9e738a3d594a4b1c2980391.jpg,https://aparatedeaerconditionat.ro/produs/aer-conditionat-samsung-freshair-ar12txhqasineu-digital-inverter-bldc-12000-btu-clasa-a-a/,"aer conditionat, Aparate de aer conditionat 12.000 BTU, Aparate de aer conditonat rezidentiale","Aparate de aer conditionat",2350RON,out of stock,wc_post_id_8814,,"https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/res_8e6d98f613241a1459e130b4b86f9f151.jpg,https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/res_e9ce9d08774de9401a1924953d934de51.jpg",,0,new,published,,,,,,,
wc_post_id_8806,"Aer conditionat VORTEX VAI1222FJW, 12000 BTU, A++/A+, Wi-Fi, kit instalare inclus, alb","Descriere 
 
 
 
 
 
 
 
 
 
 
 
Versatilitatea unui aer conditionat Vortex? 
 
Este simplu cand ai la indemana cea mai noua tehnologie! 
 
 
 
 
 
 
 
 
Wi-Fi Inteligent 
 
Prin reglarea temperaturii, cu ajutorul aparatului de aer conditionat Vortex, beneficiezi de un confort sporit la tine acasa indiferent de vreme. 
 
Modulul Wi-fi incorporat iti ofera posibilitatea de a accesa functiile aparatului doar prin intermediul smartphone-ului. Indiferent de vremea de afara, cu un singur click poti selecta temperatura ambientala potrivita. 
 
 
 
 
 
 
 
 
 
Masoara constant temperatura corpului prin intermediul aplicatiilor inteligente calibreaza automat temperatura in functie de nevoile tale, protejandu-te de temperaturi scazute ori ridicate, asigurand un somn placut si relaxant exact atunci cand ai nevoie. 
 
 
 
 
 
 
 
 
 
Freon sintetic de ultima generatie 
 
R32 este un agent frigorific de ultima generatie ce are un transfer termic ridicat, cu un impact redus asupra mediului inconjurator. Proprietatile sale termodinamice il fac sa fie mai eficient energetic decat R410A imbunatatind, totodata, capacitatea de racire prin reducerea incarcarii echipamentului. Cu un GWP (potential de incalzire globala) reprezentand doar o treime din GWP-ul R410a, R32 este mult mai ecologic. 
 
 
 
 
 
 
 
 
 
Functie Anti-Fungus 
 
Aparatul de aer conditionat porneste procesul Anti-Fungus imediat dupa racirea si umidificarea aerului. Astfel familia ta ramane protejata in fata bacteriilor si a ciupercilor cu transmisie aeriana, ca tu si cei dragi sa ramaneti in siguranta si sa va puteti bucura de o atmosfera prietenoasa. 
 
 
 
 
 
 
 
 
 
Sleep Mode 
 
Cu functia de sleep nu trebuie sa iti mai faci griji pentru consumul de energie sau variatiile de temperatura, aceasta asigura reglarea constanta a temperaturii in incapere precum si economisirea energiei electrice. Functia Sleep permite intrarea in repaus a unitatii odata ce atinge temperatura setata precum si controlul ei in diferite intervale orare alese de tine. 
 
 
 
 
 
 
 
Auto-DiagnosticareMonitorizarea erorilor si a defectiunilor nu a fost niciodata mai simpla, prin apasarea unui singur buton, unitatea incepe evaluarea functiilor si a sistemelor. Erorile se afiseaza automat sub forma unui cod specific pentru a indentifica usor si simplu orice impediment. 
 
 
 
 
 
 
 
 
 
 
Dezghetare inteligenta 
 
Vremea rece este tinuta la distanta de catre functia: Dezghetare inteligenta. Aceasta functie permite dezghetarea unitatii la temperaturi scazute si inghet prin pre-incalzirea ei, astfel eviti micile inconveniente ori defectiuni. 
 
 
 
 
 
 
 
 
 
Functie TURBO 
 
Temperaturi ridicate, ai ajuns acasa si te simti ca intr-o sauna? Nu iti face griji, functia Turbo asigura racirea ori incalzirea rapida a incaperii. Astfel esti mereu la un buton distanta de temperatura dorita in cel mai scurt timp posibil. 
 
 
 
 
 
 
 
 
 
I FEEL 
 
Aparatul de aer conditionat isi va ajusta debitul si temperatura aerului vehiculat pentru a oferi maxim de confort acolo unde esti tu. Senzorul incorporat in telecomanda simte temperatura din jurul acesteia si o transmite unitatii interioare. 
 
 
 
 
 
 
 
 
 
Auto restart 
 
Este functia care reporneste aparatul de aer conditionat si il face sa functioneze conform ultimelor setari, daca acesta s-a oprit la o pana de curent sau a fost deconectat de la sursa de alimentare.",https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/VAI09_1222FJW_IU1.jpg,https://aparatedeaerconditionat.ro/produs/aer-conditionat-vortex-vai1222fjw-12000-btu-a-a-wi-fi-kit-instalare-inclus-alb/,"aer conditionat, Aparate de aer conditionat 12.000 BTU, Aparate de aer conditonat rezidentiale","Aparate de aer conditionat",1869RON,out of stock,wc_post_id_8806,,"https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/VAI09_1222FJW_all1.jpg,https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/VAI1222FJW_EL1.jpg",,0,new,published,,,,,,,
wc_post_id_8801,"Aer conditionat VORTEX VAI1222FA, 12000 BTU, A++/A+, kit instalare inclus, alb","Aer conditionat Vortex: Eficiență energetică și performanțe superioare 
Aerul condiționat Vortex este cunoscut pentru tehnologia sa inovatoare și performanțele de top. Acestea sunt proiectate pentru a oferi o climatizare eficientă și rapidă, fără a consuma multă energie. Vortex VAi1222FA este unul dintre cele mai populare modele de aer condiționat Vortex de pe piață, fiind apreciat pentru funcțiile sale inteligente și capacitatea sa de a răci rapid camerele de dimensiuni medii. 
 
Cu o capacitate de răcire de 12.000 BTU, aparatul de aer condiționat Vortex VAi1222FA poate răci o cameră de aproximativ 35-40 metri pătrați. Acesta vine cu o serie de caracteristici utile, precum modul de încălzire, filtrele de aer de înaltă performanță și controlul prin Wi-Fi, care vă permite să controlați temperatura și setările aparatului de la distanță prin intermediul unei aplicații mobile. 
 
Una dintre caracteristicile cheie ale aerului condiționat Vortex este tehnologia sa de flux de aer în spirală, care îmbunătățește circulația aerului și asigură o răcire mai rapidă și mai uniformă în întreaga cameră. Această tehnologie este cunoscută sub numele de Vortex Air Flow System, care a fost brevetată de Vortex pentru a îmbunătăți performanța aparatului. 
 
Pe lângă performanțele excelente și caracteristicile sale inteligente, aerul condiționat Vortex este, de asemenea, cunoscut pentru design-ul său modern și elegant. În general, aparatul de aer condiționat Vortex VAi1222FA este o alegere excelentă pentru cei care caută o soluție de climatizare de înaltă performanță și eficientă energetic. 
 
În concluzie, aerul condiționat Vortex este un aparat de încredere, cu performanțe superioare și caracteristici inteligente care îl fac o alegere excelentă pentru cei care caută o soluție de climatizare de înaltă calitate. În special, modelul Vortex VAi1222FA oferă o capacitate de răcire puternică de 12.000 BTU și caracteristici inteligente, precum controlul prin Wi-Fi, filtre de aer de înaltă performanță și tehnologia Vortex Air Flow System, care îmbunătățește circulația aerului și eficiența energetică. 
 
 
Caracteristici inteligente și design modern pentru aparatul de aer condiționat Vortex 
Aparatul de aer conditionat Vortex este creat pentru a te ajuta sa controlezi temperatura casei indiferent de vreme, asigurandu-ti confortul de care ai nevoie. 
 
Masoara constant temperatura corpului prin intermediul aplicatiilor inteligente calibreaza automat temperatura in functie de nevoile tale, protejandu-te de temperaturi scazute ori ridicate, asigurand un somn placut si relaxant exact atunci cand ai nevoie. 
 
 
Descoperiți modelul de top al brandului Vortex: Aer conditionat Vortex VAi1222FA 
 
 
Freon sintetic de ultima generatie  
 
R32 este un agent frigorific de ultima generatie ce are un transfer termic ridicat, cu un impact redus asupra mediului inconjurator. Proprietatile sale termodinamice il fac sa fie mai eficient energetic decat R410A imbunatatind, totodata, capacitatea de racire prin reducerea incarcarii echipamentului. Cu un GWP (potential de incalzire globala) reprezentand doar o treime din GWP-ul R410a, R32 este mult mai ecologic. 
 
 
 
Functie Anti-Fungus 
 
Aparatul de aer conditionat porneste procesul Anti-Fungus imediat dupa racirea si umidificarea aerului. Astfel familia ta ramane protejata in fata bacteriilor si a ciupercilor cu transmisie aeriana, ca tu si cei dragi sa ramaneti in siguranta si sa va puteti bucura de o atmosfera prietenoasa. 
 
 
 
Sleep Mode 
 
Cu functia de sleep nu trebuie sa iti mai faci griji pentru consumul de energie sau variatiile de temperatura, aceasta asigura reglarea constanta a temperaturii in incapere precum si economisirea energiei electrice. Functia Sleep permite intrarea in repaus a unitatii odata ce atinge temperatura setata precum si controlul ei in diferite intervale orare alese de tine. 
 
 
 
Auto-DiagnosticareMonitorizarea erorilor si a defectiunilor nu a fost niciodata mai simpla, prin apasarea unui singur buton, unitatea incepe evaluarea functiilor si a sistemelor. Erorile se afiseaza automat sub forma unui cod specific pentru a indentifica usor si simplu orice impediment. 
 
 
 
Dezghetare inteligenta 
 
Vremea rece este tinuta la distanta de catre functia: Dezghetare inteligenta. Aceasta functie permite dezghetarea unitatii la temperaturi scazute si inghet prin pre-incalzirea ei, astfel eviti micile inconveniente ori defectiuni.",https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/VAI09-1222FA1.jpg,https://aparatedeaerconditionat.ro/produs/aer-conditionat-vortex-vai1222fa-12000-btu-a-a-kit-instalare-inclus-alb/,"aer conditionat, Aparate de aer conditionat 12.000 BTU, Aparate de aer conditonat rezidentiale","Aparate de aer conditionat",1650RON,out of stock,wc_post_id_8801,,"https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/VAI09-1222FA_all_small1.jpg,https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/VAI1222FA_EL1.jpg",,0,new,published,,,,,,,
wc_post_id_8739,"Dezumidificator Gree Daisy GDN20BD-K5EBAA1","Mentine umiditatea in parametrii normali in spatiile rezidentiale; 
  Previne aparatia mucegaiului; 
  Poate fi folosit in camere de locuit, bai, demisoluri, uscatorii si alte aplicatii casnice; 
  Afisaj usor de folosit; 
  Potrivit pentru spatii de pana la 30mp; 
  Filtru de aer lavabil ce retine impuritatile si combate inmultirea bacteriilor; 
  Usor de transportat; 
  Indicator luminos de preaplin; 
  Oprirea automata a functionarii la preaplin.",https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/gree-dezumidificator-3.jpg,https://aparatedeaerconditionat.ro/produs/dezumidificator-gree-daisy-gdn20bd-k5ebaa1/,"Tratare aer","Aparate de aer conditionat",1100RON,in stock,wc_post_id_8739,,,,0,new,published,,,,,,,
wc_post_id_8651,"Aparat de Aer Conditionat Tip Coloana Gree GVH48AH-M3DNA5A inverter, 48000 BTU, coloana de podea, clasa A","Coloana Fresh Wind​ 
 
Asigura economie de energie datorita clasei A de functionare atat in regim de racire cat si in regim de incalzire. 
 
Este solutia ideala in spatii cu pereti vitrati ce nu permit montajul altor sisteme de climatizare. 
 
Asigura posibilitatea autodiagnozei ce reduce  timpul de interventie. 
 
Confera un climat adecvat intr-un timp cat mai scurt cu ajutorul functiei ,,Turbo''. 
 
Ofera posibilitatea functionarii dupa un anumit program stabilit de utilizator prin functia Timer. 
 
Micsorarea timpului de nefunctionare in regim de incalzire in timpul dezghetarii prin functia de ,, Dezghetare inteligenta''. 
 
Protejeaza persoanele din incapere de aerul rece la pornirea in regim de incalzire in timpul sezonului rece prin functia de ,, Preincalzire inteligenta''.",https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/coloana.jpg,https://aparatedeaerconditionat.ro/produs/aparat-de-aer-conditionat-tip-coloana-gree-gvh48ah-m3dna5a-inverter-48000-btu-coloana-de-podea-clasa-a/,"aer conditionat, Aparate de aer comerciale, Aparate de aer conditionat 48000 BTU, Aparate de aer conditionat coloana","Aparate de aer conditionat",14500RON,in stock,wc_post_id_8651,,"https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/telecomanda-coloana.jpg,https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/unitate-exterioara-coloana.jpg",,0,new,published,,,,,,,
wc_post_id_8646,"Aparat de Aer Conditionat Tip Coloana de podea Gree GVH24MA - K6DNC7A Eco inverter, 24000 BTU, garantie 3 ani, clasa A++","Detalii functii 
 
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
Afisaj LED 
Panoul frontal al unitatii interioare este dotat cu afisaj LED.",https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/coloana-r32.jpg,https://aparatedeaerconditionat.ro/produs/coloana-de-podea-r32/,"aer conditionat, Aparate de aer comerciale, Aparate de aer conditionat 24000 BTU, Aparate de aer conditionat coloana","Aparate de aer conditionat",7799RON,in stock,wc_post_id_8646,,"https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/coloana-telecomanda-r32.jpg,https://aparatedeaerconditionat.ro/wp-content/uploads/2022/03/coloane-exterioara-r32.jpg",,0,new,published,,,,,,,
